obj_id ra dec 850_flux 850_flux_db 850_err 850_snr C
1 152.97394614270613 46.48716142073388 9.949571284074324 7.294179288963631 0.6848099123308654 10.651392682294373 1.0
2 152.86501945656846 46.484920433849254 12.107817499597417 9.502349708294798 1.037940486809646 9.155004385176747 1.0
3 152.92311077453735 46.49216553086089 7.304925106754441 5.389506479198843 0.7074820710638251 7.617870048769945 1.0206185567010309
4 152.9142502844784 46.45716394352134 5.958529867422335 4.777097221295493 0.7583400691677988 6.299412909221416 1.1069868995633187
5 152.99243882184527 46.41993213000087 6.91619061190571 5.441923943559572 0.9959028400252201 5.464312104403439 1.0762942779291553
6 152.96427320879013 46.50827504463936 5.1497374367389295 3.7518047193806576 0.8179424803962697 4.586880874023092 1.1722282023681376
7 152.96670630792818 46.53105225022936 5.651409454292686 4.372203496167115 0.910631597217877 4.801286831606641 1.1292834890965733
8 152.92793925949258 46.556054938222395 6.244007663198573 4.76549037488839 1.0106693613357598 4.715182390203299 1.2080536912751678
9 152.9788468968792 46.56882641055234 7.665202936873736 6.211628260232085 1.2883103994921214 4.821530791555231 1.2
10 153.0037351005308 46.43159299640115 5.925332660739943 4.750482219386334 0.999815666545998 4.751358053627559 1.1069868995633187
11 153.04506121514896 46.5432289602792 8.175132579864012 6.423583400272329 1.4037672290483427 4.575960506377596 1.28
12 153.05452171352886 46.43377543366137 7.0029883575351475 5.448258802615638 1.207725688900771 4.511172406686529 1.1551724137931034
13 152.97152614123698 46.48827323799663 3.8589175530813993 2.5540502900625324 0.6816810861562319 3.746693786773452 1.23589001447178
14 152.981193562526 46.46827011163242 3.8847685974119384 2.571159975968652 0.710836024781938 3.61709295298786 1.23589001447178
15 153.0504855710023 46.43100164098637 6.500822790072355 5.097285062652091 1.1982078935486329 4.25409070504108 1.1551312649164678
16 152.8828215023791 46.435486128855935 5.575695833146888 4.313627779479363 1.0562977685401527 4.083723271933988 1.2210682492581604
17 152.86658048244223 46.52436586494134 5.062832222695906 3.688490541485042 1.000990558666285 3.684840490802999 1.3888888888888888
20 153.0877290296016 46.49151504669037 8.183047011080822 6.429802138438376 1.6247247951543087 3.9574715407895917 1.3191489361702127
21 153.02786365121085 46.398799151731566 7.247050994069422 5.638137228795896 1.440961809915107 3.912759651227719 1.2519083969465647
22 153.02972660009038 46.55046428525 6.334617445136307 4.686827548971567 1.3124074508985766 3.5711680437067 1.2333333333333332
23 152.9198544091496 46.57216492616491 6.687453018620276 5.243621535270517 1.393723732372609 3.7623105738064924 1.2055555555555557
30 152.9915843637611 46.36937706213232 10.809196065331875 8.425987707754091 2.401761979151876 3.508252599922297 1.0
31 153.014136768442 46.37547565027372 11.422373802819813 9.577766853296115 2.5423962360684476 3.7672203559061037 1.0
36 152.797184483344 46.507634276240616 8.643539478169567 7.219546223125502 2.01090636033765 3.590195130673948 1.222222222222222
