designation,ra,dec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J101151.76+463151.5,152.9656857,46.5309730,16.498,0.099,11.0,1.064E+00,15.147,0.097,11.2,9.483E-01,11.910,0.220,4.9,1.016E+00,8.834,0.379,2.9,1.039E+00,7,14,7,14,0,14,1,14,null,null,null,null,null,null,null,221.678375,17.191845
J101200.01+463104.0,153.0000619,46.5177878,15.964,0.065,16.8,9.546E-01,15.807,0.174,6.2,9.215E-01,12.327,null,1.4,1.056E+00,8.882,null,1.0,1.154E+00,13,14,3,14,1,14,0,14,null,null,null,null,null,null,null,222.983868,42.517807
J101146.44+462433.6,152.9435143,46.4093557,17.400,0.188,5.8,8.021E-01,16.571,0.317,3.4,8.055E-01,12.952,null,-0.4,1.004E+00,9.173,null,-0.8,8.762E-01,0,16,0,16,0,16,0,16,null,null,null,null,null,null,null,226.309041,177.306618
J101204.83+463004.9,153.0201398,46.5013661,16.966,0.133,8.2,7.810E-01,16.783,0.403,2.7,8.883E-01,12.463,null,1.1,9.272E-01,9.219,null,-0.4,8.927E-01,3,15,0,15,0,15,0,15,null,null,null,null,null,null,null,226.456578,62.295952
J101143.40+462434.2,152.9308500,46.4095107,17.286,0.178,6.1,8.420E-01,16.527,null,1.4,9.769E-01,12.887,null,-0.2,9.203E-01,9.253,null,0.1,1.237E+00,0,15,1,15,0,14,1,15,null,null,null,null,null,null,null,226.457568,185.270218
J101129.06+462548.4,152.8711196,46.4301287,16.001,0.065,16.7,8.483E-01,15.587,0.133,8.2,1.069E+00,12.459,null,1.1,9.778E-01,9.346,null,-1.5,8.879E-01,12,15,3,15,0,15,0,15,null,null,null,null,null,null,null,226.767334,228.181007
J101207.20+462848.9,153.0300330,46.4802539,17.236,0.166,6.5,9.438E-01,16.907,null,0.6,1.113E+00,12.676,null,0.5,9.689E-01,9.117,null,0.6,9.575E-01,2,15,0,16,0,16,0,16,null,null,null,null,null,null,null,226.997682,82.582932
J101204.15+463018.6,153.0173314,46.5051762,14.662,0.034,31.8,1.606E+00,14.284,0.053,20.3,9.884E-01,11.121,0.108,10.1,8.041E-01,8.615,null,2.0,9.524E-01,15,15,14,15,6,15,0,15,549074912,16.729,0.142,16.042,0.160,15.530,0.183,227.177843,58.414188
J101145.45+463206.9,152.9394033,46.5352669,16.573,0.096,11.3,7.971E-01,16.525,null,1.5,8.963E-01,12.223,null,1.8,1.129E+00,9.303,null,-1.3,1.045E+00,9,15,0,15,0,15,0,15,null,null,null,null,null,null,null,227.221396,0.108219
J101206.85+462914.0,153.0285746,46.4872412,16.456,0.087,12.4,8.106E-01,16.365,0.269,4.0,7.241E-01,12.387,null,1.4,8.659E-01,9.284,null,-0.6,9.329E-01,7,16,1,16,0,16,0,16,null,null,null,null,null,null,null,228.051361,76.185595
J101205.58+462955.8,153.0232563,46.4988469,16.264,0.076,14.3,8.182E-01,16.050,0.203,5.3,8.799E-01,12.496,null,1.0,9.062E-01,9.182,null,0.2,8.659E-01,11,15,2,15,0,15,1,15,null,null,null,null,null,null,null,229.384348,65.198929
J101150.93+463204.0,152.9622488,46.5344718,17.216,0.167,6.5,9.099E-01,16.605,null,1.3,9.194E-01,12.887,null,-1.7,8.304E-01,9.057,null,0.3,1.001E+00,0,14,0,14,0,14,0,14,null,null,null,null,null,null,null,231.495608,14.255824
J101207.87+462801.5,153.0328066,46.4671041,17.435,0.197,5.5,7.667E-01,16.987,0.447,2.4,1.200E+00,12.472,null,1.2,1.098E+00,9.001,null,0.7,1.112E+00,1,16,1,16,0,16,0,16,null,null,null,null,null,null,null,232.729338,94.442739
J101127.51+463043.3,152.8646411,46.5120407,16.103,0.070,15.5,9.180E-01,15.406,0.120,9.1,9.022E-01,11.793,0.190,5.7,8.819E-01,8.660,null,1.4,1.085E+00,12,15,5,15,0,15,0,15,null,null,null,null,null,null,null,234.088722,307.867930
J101150.20+462429.4,152.9591689,46.4081797,17.397,0.179,6.1,8.815E-01,16.475,null,1.9,9.771E-01,12.625,null,0.8,9.822E-01,9.257,null,0.2,1.034E+00,0,17,0,17,0,17,0,17,null,null,null,null,null,null,null,235.545236,167.870439
J101207.00+462936.6,153.0291760,46.4935130,16.451,0.087,12.5,9.111E-01,16.165,0.226,4.8,1.012E+00,12.522,null,0.9,8.403E-01,9.278,null,0.1,8.435E-01,8,16,0,16,0,16,0,16,null,null,null,null,null,null,null,235.854664,70.936536
J101122.57+462840.7,152.8440674,46.4779789,17.212,0.161,6.7,9.379E-01,16.679,0.342,3.2,1.049E+00,12.833,null,0.3,1.066E+00,9.282,null,-0.2,8.564E-01,2,16,0,16,0,16,0,16,null,null,null,null,null,null,null,236.859698,275.117151
J101204.20+463038.6,153.0175049,46.5107406,16.023,0.065,16.7,8.098E-01,15.611,0.147,7.4,9.980E-01,12.831,null,0.2,8.683E-01,9.122,null,0.2,8.937E-01,14,15,3,15,0,15,0,15,null,null,null,null,null,null,null,238.615221,54.364868
J101140.58+463213.4,152.9191116,46.5370577,17.180,0.157,6.9,7.941E-01,16.989,0.437,2.5,1.008E+00,12.912,null,0.1,8.425E-01,8.849,null,1.3,9.945E-01,2,17,1,17,0,17,0,17,null,null,null,null,null,null,null,238.926290,347.964346
J101153.89+463202.3,152.9745512,46.5339852,15.654,0.054,20.3,8.866E-01,15.644,0.151,7.2,9.732E-01,12.254,null,1.6,9.600E-01,8.469,null,2.0,8.215E-01,14,14,4,14,0,14,0,14,null,null,null,null,null,null,null,239.194892,21.450769
J101203.28+462543.9,153.0136799,46.4288839,17.321,0.172,6.3,7.638E-01,17.182,null,-0.2,9.172E-01,12.816,null,0.3,9.409E-01,9.096,null,0.4,9.655E-01,1,16,0,16,0,16,0,16,null,null,null,null,null,null,null,241.577940,130.120090
J101205.96+463015.3,153.0248335,46.5042575,17.334,0.187,5.8,8.623E-01,16.410,null,2.0,1.010E+00,12.498,null,0.9,9.340E-01,8.798,null,1.2,9.931E-01,1,15,0,15,0,15,0,15,null,null,null,null,null,null,null,241.619442,61.388997
J101208.71+462850.4,153.0362981,46.4806825,16.774,0.109,10.0,8.802E-01,16.463,0.284,3.8,9.440E-01,12.947,null,-1.0,9.474E-01,9.376,null,-0.2,9.502E-01,3,16,2,17,0,16,0,17,null,null,null,null,null,null,null,242.599110,82.690702
J101144.69+462416.5,152.9362425,46.4045944,17.118,0.145,7.5,8.916E-01,16.590,0.333,3.3,9.262E-01,12.932,null,-2.0,7.975E-01,9.241,null,-0.3,8.552E-01,2,16,0,16,0,16,0,16,null,null,null,null,null,null,null,243.312923,181.746658
J101135.83+463202.2,152.8993286,46.5339565,16.472,0.087,12.5,8.408E-01,16.666,0.338,3.2,9.300E-01,12.971,null,0.0,9.315E-01,8.617,null,1.8,1.120E+00,10,17,0,17,0,17,0,17,null,null,null,null,null,null,null,243.482523,336.055687
J101208.46+462912.6,153.0352510,46.4868403,17.006,0.137,7.9,8.620E-01,16.757,null,0.8,8.563E-01,12.946,null,-1.2,9.523E-01,8.735,null,1.3,1.008E+00,1,16,0,16,0,16,0,16,null,null,null,null,null,null,null,243.841260,77.439146
J101208.97+462838.7,153.0373796,46.4774176,17.474,0.196,5.5,7.981E-01,17.193,null,-1.0,9.450E-01,12.976,null,0.0,9.398E-01,9.326,null,-1.0,9.325E-01,1,17,0,17,0,17,0,17,null,null,null,null,null,null,null,244.072909,85.508302
J101207.85+462938.1,153.0327102,46.4939254,17.062,0.143,7.6,8.324E-01,16.699,0.366,3.0,9.861E-01,12.212,null,1.9,9.329E-01,8.667,null,1.7,7.377E-01,1,15,0,15,0,15,0,15,null,null,null,null,null,null,null,244.624198,71.275557
J101149.10+462418.0,152.9545934,46.4050230,17.110,0.145,7.5,1.000E+00,15.818,0.166,6.5,8.655E-01,12.980,null,-1.4,9.388E-01,9.249,null,0.1,1.067E+00,1,16,2,16,0,16,0,16,null,null,null,null,null,null,null,244.644335,171.031462
J101121.87+462740.0,152.8411494,46.4611199,17.357,0.176,6.2,8.070E-01,16.446,null,2.0,8.543E-01,12.913,null,0.1,9.777E-01,9.461,null,-0.5,1.066E+00,0,16,0,16,0,16,0,16,null,null,null,null,null,null,null,246.420671,260.762452
J101208.51+462924.4,153.0354910,46.4901180,16.602,0.097,11.2,9.419E-01,16.445,0.297,3.7,8.559E-01,12.907,null,0.1,1.002E+00,8.943,null,0.9,8.970E-01,6,16,0,16,0,16,0,16,null,null,null,null,null,null,null,247.236779,74.798232
J101208.40+462709.6,153.0350047,46.4526839,17.441,0.195,5.6,8.146E-01,16.975,0.469,2.3,8.718E-01,12.970,null,0.0,8.691E-01,9.318,null,-0.8,1.048E+00,2,16,0,16,0,16,1,16,null,null,null,null,null,null,null,247.623853,106.404704
J101125.86+462556.0,152.8577816,46.4322275,14.986,0.037,29.7,9.257E-01,14.551,0.057,19.0,1.117E+00,10.898,0.086,12.6,1.033E+00,8.853,null,1.0,9.083E-01,16,16,14,16,9,16,0,16,549069865,16.812,0.166,16.185,0.170,15.415,0.173,247.921048,234.599759
J101146.43+462411.1,152.9434628,46.4031062,17.320,0.175,6.2,7.817E-01,16.771,0.384,2.8,8.781E-01,12.965,null,-1.2,8.835E-01,9.193,null,-0.4,8.209E-01,0,16,0,16,0,16,0,16,null,null,null,null,null,null,null,248.779260,177.579235
J101207.84+462952.2,153.0327034,46.4978396,17.132,0.152,7.1,9.197E-01,16.995,0.470,2.3,9.391E-01,12.868,null,0.1,1.049E+00,9.189,0.476,2.3,9.698E-01,2,15,1,15,0,15,0,15,null,null,null,null,null,null,null,249.473712,68.206646
J101201.85+463125.7,153.0077113,46.5238256,16.992,0.146,7.5,7.731E-01,16.267,null,1.9,1.021E+00,12.521,null,0.7,9.703E-01,8.861,null,0.7,9.336E-01,3,13,0,13,1,13,0,13,null,null,null,null,null,null,null,251.811285,42.347859
J101122.44+462945.5,152.8435219,46.4959986,17.054,0.150,7.2,8.644E-01,16.149,0.223,4.9,7.442E-01,12.479,null,1.0,9.703E-01,8.916,null,0.9,9.827E-01,3,15,1,15,0,15,0,15,null,null,null,null,null,null,null,252.298645,289.929308
J101151.16+463225.0,152.9631887,46.5402826,13.560,0.027,40.1,1.112E+00,13.564,0.036,30.4,1.013E+00,12.896,null,-2.0,9.768E-01,8.566,null,1.8,9.241E-01,14,14,14,14,0,14,0,14,549070036,14.034,0.026,13.677,0.027,13.671,0.041,252.359293,13.597018
J101201.04+463133.7,153.0043686,46.5260475,16.984,0.145,7.5,8.252E-01,17.008,null,0.0,1.044E+00,12.824,null,-0.8,9.891E-01,9.078,null,0.4,1.041E+00,2,13,0,13,0,13,0,13,null,null,null,null,null,null,null,252.398290,39.734622
J101157.19+462438.4,152.9883193,46.4106772,15.568,0.049,22.3,8.640E-01,15.292,0.102,10.7,8.027E-01,12.953,null,-0.6,1.147E+00,9.322,null,-2.0,1.025E+00,16,16,5,16,0,16,0,16,549075052,16.562,0.124,15.790,0.113,15.710,0.229,252.595344,151.159113
J101135.66+462427.0,152.8986216,46.4075008,17.033,0.145,7.5,8.102E-01,16.467,0.299,3.6,1.038E+00,12.357,null,1.4,7.890E-01,9.277,null,-1.3,1.057E+00,2,15,1,15,0,15,0,15,null,null,null,null,null,null,null,253.604931,203.420457
J101127.10+463112.2,152.8629406,46.5200632,16.047,0.069,15.7,9.602E-01,16.885,0.435,2.5,9.785E-01,12.784,null,0.3,9.107E-01,9.045,null,0.7,1.082E+00,13,15,0,15,0,15,0,15,549070012,16.717,0.142,16.182,0.168,15.665,0.219,255.924567,312.402517
J101209.86+462735.9,153.0411139,46.4599893,17.028,0.136,8.0,8.379E-01,17.182,null,-0.1,1.000E+00,12.961,null,-1.2,1.089E+00,9.067,null,0.4,1.104E+00,2,16,0,16,0,16,1,16,null,null,null,null,null,null,null,256.398541,99.794141
J101120.53+462842.6,152.8355583,46.4785270,15.083,0.040,27.2,6.924E-01,14.710,0.066,16.5,8.038E-01,11.149,0.107,10.2,9.700E-01,8.515,0.255,4.3,1.078E+00,16,16,15,16,6,16,1,16,549069938,16.835,0.165,15.911,0.136,15.165,0.136,258.046144,275.141679
J101147.33+463237.6,152.9472448,46.5437925,16.364,0.086,12.6,9.596E-01,16.671,0.376,2.9,9.602E-01,12.583,0.409,2.7,8.393E-01,8.617,null,1.7,1.011E+00,9,14,0,14,0,14,0,14,null,null,null,null,null,null,null,258.676525,4.399975
J101141.47+462402.3,152.9228151,46.4006611,15.867,0.060,18.0,8.532E-01,15.906,0.194,5.6,9.180E-01,12.880,null,-1.2,9.559E-01,9.209,null,-1.1,1.025E+00,14,14,1,14,0,14,0,14,549069821,16.668,0.136,16.094,0.146,15.357,null,260.562157,188.997935
J101209.94+462718.0,153.0414369,46.4550138,15.381,0.044,24.8,8.748E-01,15.307,0.104,10.5,8.554E-01,11.869,0.197,5.5,9.684E-01,8.941,0.398,2.7,9.424E-01,16,16,7,16,1,16,0,16,null,null,null,null,null,null,null,260.845800,103.643064
J101134.19+463213.7,152.8924679,46.5371549,16.524,0.090,12.0,9.854E-01,15.938,0.180,6.0,1.015E+00,12.606,null,0.8,8.907E-01,8.980,null,0.8,9.684E-01,10,17,1,17,0,16,0,17,null,null,null,null,null,null,null,261.132574,333.675372
J101120.94+462928.4,152.8372839,46.4912440,17.442,0.195,5.6,7.978E-01,16.838,0.388,2.8,8.346E-01,12.384,null,1.5,1.011E+00,9.064,null,0.8,9.061E-01,1,16,0,16,1,16,0,16,null,null,null,null,null,null,null,261.896908,285.253254
J101123.18+463026.0,152.8465984,46.5072338,17.489,0.205,5.3,8.323E-01,16.625,null,1.4,9.245E-01,12.327,null,1.6,8.809E-01,9.197,null,0.4,1.074E+00,0,16,0,16,0,16,0,16,null,null,null,null,null,null,null,262.039121,298.849406
J101120.28+462728.4,152.8345325,46.4579055,15.502,0.046,23.5,8.888E-01,15.401,0.112,9.7,1.061E+00,12.950,null,0.1,9.818E-01,9.393,null,-0.1,9.923E-01,16,16,5,16,0,16,0,16,null,null,null,null,null,null,null,264.631283,258.864503
J101207.95+462613.5,153.0331413,46.4371066,16.982,0.129,8.4,7.870E-01,16.875,0.418,2.6,9.340E-01,12.946,null,-0.7,8.814E-01,9.388,null,-0.5,1.084E+00,2,16,0,16,0,16,0,16,null,null,null,null,null,null,null,264.884863,118.407891
J101201.17+462450.4,153.0048939,46.4140264,16.921,0.121,8.9,8.613E-01,16.577,null,1.6,7.645E-01,12.340,null,1.7,8.540E-01,8.875,null,1.2,1.094E+00,3,17,0,17,0,17,0,17,null,null,null,null,null,null,null,265.172829,142.076603
J101123.58+462559.2,152.8482748,46.4331327,17.601,0.227,4.8,9.610E-01,16.056,0.191,5.7,9.422E-01,12.941,null,-0.3,8.736E-01,9.280,null,-1.4,9.653E-01,1,16,2,16,0,16,0,16,null,null,null,null,null,null,null,265.745254,238.124776
J101119.69+462813.6,152.8320673,46.4704673,16.868,0.121,9.0,7.988E-01,16.542,0.303,3.6,8.390E-01,12.960,null,-0.9,9.762E-01,9.013,null,0.6,1.030E+00,2,16,0,16,0,16,0,16,null,null,null,null,null,null,null,265.766505,268.732770
J101137.57+463234.7,152.9065704,46.5429800,15.262,0.041,26.7,1.023E+00,14.867,0.076,14.2,8.896E-01,11.765,0.176,6.2,8.490E-01,9.272,null,0.3,1.144E+00,17,17,10,17,2,17,0,17,null,null,null,null,null,null,null,267.520630,342.404748
J101120.32+462713.0,152.8346945,46.4536372,16.522,0.091,12.0,8.480E-01,16.233,0.224,4.9,8.729E-01,12.710,0.426,2.6,1.111E+00,9.374,null,-0.4,1.001E+00,7,16,2,16,0,16,0,16,null,null,null,null,null,null,null,267.653887,255.619493
J101132.14+462428.1,152.8839449,46.4078130,16.022,0.070,15.6,8.537E-01,15.698,0.153,7.1,8.867E-01,11.859,0.213,5.1,1.069E+00,9.279,null,-0.2,9.137E-01,14,14,1,14,2,14,0,14,null,null,null,null,null,null,null,269.175112,210.652316
J101211.55+462828.5,153.0481313,46.4745976,17.196,0.154,7.0,8.634E-01,16.577,null,1.7,1.032E+00,13.005,null,-0.8,8.864E-01,9.256,null,-0.3,1.013E+00,2,17,0,17,0,17,1,17,null,null,null,null,null,null,null,270.141718,88.091341
J101137.16+462403.3,152.9048607,46.4009381,16.425,0.091,12.0,8.438E-01,16.070,0.211,5.1,9.633E-01,12.658,0.441,2.5,9.675E-01,8.533,null,1.7,8.754E-01,8,14,2,14,0,14,0,14,null,null,null,null,null,null,null,270.171527,198.410147
J101121.02+463001.1,152.8376220,46.5003308,16.733,0.112,9.7,1.060E+00,16.559,null,1.4,1.015E+00,12.921,null,-1.6,9.217E-01,9.158,null,0.3,1.027E+00,6,15,0,15,0,15,0,15,null,null,null,null,null,null,null,271.521281,291.977048
J101134.18+462413.0,152.8924398,46.4036305,16.766,0.123,8.8,7.972E-01,16.382,0.290,3.7,8.808E-01,12.464,null,0.9,8.582E-01,9.216,null,-0.6,1.027E+00,1,14,0,14,0,14,0,14,null,null,null,null,null,null,null,272.619087,205.218456
J101125.09+463114.3,152.8545609,46.5206647,17.031,0.145,7.5,9.308E-01,16.710,0.373,2.9,1.207E+00,12.188,null,1.9,1.078E+00,8.832,null,1.1,1.057E+00,2,15,1,15,0,15,0,15,null,null,null,null,null,null,null,273.006364,309.803104
J101133.91+463225.6,152.8912930,46.5404547,14.627,0.033,33.0,1.086E+00,14.298,0.051,21.2,8.922E-01,12.512,0.367,3.0,8.555E-01,9.346,null,-0.3,9.519E-01,16,16,16,16,0,16,0,16,549070037,16.677,0.148,15.776,0.127,15.105,0.137,273.081552,334.235035
J101138.72+463244.1,152.9113513,46.5455902,17.386,0.183,5.9,8.997E-01,16.618,null,1.4,1.027E+00,13.006,null,-0.2,9.364E-01,8.758,null,1.5,9.701E-01,2,17,0,17,0,17,0,17,null,null,null,null,null,null,null,273.259256,345.368066
J101145.94+462345.3,152.9414338,46.3959223,15.317,0.044,24.7,1.311E+00,15.089,0.089,12.2,1.091E+00,11.497,0.141,7.7,9.829E-01,8.934,null,0.7,9.690E-01,16,16,12,16,1,16,0,16,null,null,null,null,null,null,null,274.474037,178.857735
J101142.92+462346.0,152.9288523,46.3961369,16.477,0.091,11.9,8.156E-01,16.142,0.218,5.0,9.671E-01,12.691,0.454,2.4,9.367E-01,9.149,null,-0.2,9.685E-01,8,15,2,15,0,15,0,15,null,null,null,null,null,null,null,274.855675,185.378979
J101200.04+462429.8,153.0002021,46.4083013,16.044,0.062,17.5,8.249E-01,16.137,0.202,5.4,9.848E-01,12.982,null,-1.0,1.049E+00,9.216,null,0.2,1.018E+00,15,17,2,17,0,17,0,17,null,null,null,null,null,null,null,275.159605,146.630422
J101125.79+462513.5,152.8574910,46.4204228,17.330,0.181,6.0,1.086E+00,16.535,0.304,3.6,9.061E-01,12.929,null,-0.8,8.903E-01,8.862,null,1.0,9.558E-01,2,15,1,15,0,15,0,15,null,null,null,null,null,null,null,275.294117,227.464145
J101207.71+463052.1,153.0321575,46.5144757,17.380,0.201,5.4,7.968E-01,16.458,null,1.5,1.065E+00,12.879,null,0.0,9.356E-01,9.019,null,0.7,1.020E+00,0,14,0,14,0,14,0,14,null,null,null,null,null,null,null,276.152247,56.477759
J101141.32+463254.4,152.9221875,46.5484719,17.311,0.177,6.1,8.779E-01,16.302,0.255,4.3,8.830E-01,12.958,null,0.0,1.022E+00,9.392,null,-2.5,9.297E-01,4,16,2,16,0,16,0,16,null,null,null,null,null,null,null,277.984576,351.269386
J101153.37+463245.9,152.9723900,46.5461105,15.068,0.040,27.2,1.150E+00,14.734,0.072,15.1,1.028E+00,11.428,0.143,7.6,1.001E+00,8.859,null,0.7,1.038E+00,14,14,13,14,2,14,0,14,null,null,null,null,null,null,null,278.645678,17.136639
J101205.03+463133.8,153.0209668,46.5260583,17.018,0.148,7.3,8.953E-01,15.872,0.190,5.7,7.934E-01,12.893,null,-0.3,8.263E-01,9.286,null,-0.4,1.015E+00,3,14,2,14,0,14,0,14,null,null,null,null,null,null,null,280.519312,46.195692
J101143.62+463300.4,152.9317663,46.5501159,15.552,0.048,22.7,8.114E-01,15.434,0.119,9.1,9.813E-01,12.763,null,0.4,9.756E-01,8.684,null,1.6,9.181E-01,15,16,4,16,0,16,0,16,549070053,16.495,0.114,15.688,0.106,15.531,0.198,281.285882,356.233342
