designation,ra,dec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J101210.00+462606.5,153.0416986,46.4351526,16.266,0.074,14.7,8.777E-01,15.889,0.183,5.9,8.968E-01,12.458,0.339,3.2,9.631E-01,9.304,null,-0.5,9.859E-01,12,16,2,16,1,16,0,16,null,null,null,null,null,null,null,286.927648,117.621030
J101129.02+463213.3,152.8709343,46.5370419,17.479,0.200,5.4,8.586E-01,16.576,null,1.5,9.224E-01,12.949,null,0.0,1.020E+00,9.123,null,0.5,1.035E+00,1,16,0,16,0,16,0,16,null,null,null,null,null,null,null,288.465065,324.105200
J101211.31+462631.4,153.0471339,46.4420577,16.026,0.062,17.6,1.035E+00,15.916,0.170,6.4,9.935E-01,12.976,null,-0.1,9.762E-01,9.377,null,-0.3,1.002E+00,13,17,2,17,0,17,0,17,null,null,null,null,null,null,null,288.700881,112.000051
J101155.86+463248.1,152.9827806,46.5466951,16.760,0.117,9.3,9.986E-01,16.510,null,1.4,1.013E+00,12.887,null,-0.7,8.971E-01,9.311,null,-0.9,9.708E-01,4,14,0,14,0,14,0,14,null,null,null,null,null,null,null,289.243016,21.888255
J101146.87+462329.4,152.9452937,46.3915046,17.215,0.163,6.7,8.783E-01,16.630,null,1.2,9.006E-01,12.985,null,-0.7,9.710E-01,9.021,null,0.7,9.690E-01,1,16,0,16,0,16,0,16,null,null,null,null,null,null,null,290.712860,177.031275
J101122.84+462525.5,152.8451760,46.4237706,16.311,0.080,13.5,9.016E-01,15.292,0.099,10.9,9.120E-01,12.551,null,1.0,8.693E-01,9.231,null,0.3,1.080E+00,11,16,7,16,0,16,0,16,null,null,null,null,null,null,null,291.136902,233.291112
J101117.25+462837.7,152.8218825,46.4771498,13.031,0.025,43.0,7.235E-01,13.091,0.029,37.1,1.030E+00,12.625,0.398,2.7,8.673E-01,9.064,null,0.5,9.794E-01,16,16,16,16,0,16,0,16,549069933,13.888,0.025,13.240,0.026,13.082,0.034,291.487880,273.582789
J101204.91+462449.2,153.0204987,46.4136677,17.145,0.142,7.6,8.885E-01,15.747,0.146,7.4,8.398E-01,12.683,null,0.7,9.360E-01,8.587,null,1.9,9.870E-01,1,17,2,17,0,17,0,17,null,null,null,null,null,null,null,291.493616,136.212486
J101154.94+463254.2,152.9789271,46.5484160,16.749,0.118,9.2,9.270E-01,16.169,0.247,4.4,8.845E-01,12.329,null,1.3,8.323E-01,9.320,null,-1.6,9.667E-01,6,14,2,14,0,14,0,14,null,null,null,null,null,null,null,291.642693,19.694478
J101118.03+462936.1,152.8251643,46.4933794,15.060,0.039,27.5,9.921E-01,14.733,0.066,16.4,8.774E-01,12.720,null,0.5,9.271E-01,9.083,null,0.5,9.756E-01,16,16,14,16,0,16,0,16,549069967,16.979,0.190,16.444,0.207,15.394,0.177,292.899721,285.166509
J101137.25+463300.3,152.9052313,46.5500916,16.615,0.096,11.3,9.886E-01,16.619,0.343,3.2,1.046E+00,12.963,null,-1.8,8.659E-01,8.891,null,1.0,8.264E-01,5,16,2,16,0,16,0,17,null,null,null,null,null,null,null,292.960907,343.302369
J101149.58+463309.6,152.9565918,46.5526703,15.781,0.057,19.1,1.070E+00,15.346,0.113,9.6,1.166E+00,12.414,0.361,3.0,9.457E-01,8.954,0.424,2.6,8.524E-01,14,14,6,14,1,14,0,14,null,null,null,null,null,null,null,293.047248,8.434188
J101213.55+462739.4,153.0564610,46.4609651,16.596,0.094,11.6,9.346E-01,16.248,0.230,4.7,8.883E-01,12.369,null,1.6,9.794E-01,9.083,null,0.5,1.006E+00,8,17,1,17,1,17,0,17,null,null,null,null,null,null,null,293.461664,97.843892
J101156.81+463248.8,152.9867223,46.5468937,16.424,0.090,12.0,8.218E-01,16.226,0.247,4.4,9.120E-01,12.878,null,-0.9,8.568E-01,9.011,null,0.8,9.401E-01,9,14,0,14,0,14,0,14,null,null,null,null,null,null,null,293.681274,23.602789
J101204.33+462440.4,153.0180561,46.4112367,16.584,0.094,11.6,8.717E-01,16.169,0.210,5.2,9.395E-01,12.801,null,0.4,9.098E-01,9.354,null,-0.1,1.024E+00,5,17,1,17,0,17,0,17,null,null,null,null,null,null,null,293.811964,138.246957
J101204.02+463202.4,153.0167598,46.5340206,16.787,0.120,9.0,7.886E-01,16.162,0.234,4.6,9.286E-01,12.269,null,1.5,9.004E-01,8.774,null,1.0,9.390E-01,2,14,2,14,0,14,0,14,null,null,null,null,null,null,null,294.140010,40.750490
J101202.75+463214.5,153.0114934,46.5373744,17.167,0.170,6.4,8.114E-01,16.778,0.437,2.5,9.443E-01,12.651,null,0.4,9.765E-01,9.058,0.447,2.4,9.581E-01,1,13,1,13,0,13,0,13,null,null,null,null,null,null,null,295.291021,37.302025
J101153.24+462333.4,152.9718702,46.3926282,16.991,0.132,8.2,9.476E-01,16.750,0.367,3.0,8.574E-01,12.390,null,1.4,1.012E+00,9.303,0.483,2.2,1.123E+00,2,16,0,16,0,16,1,16,null,null,null,null,null,null,null,297.512864,164.192474
J101138.04+463307.5,152.9085177,46.5520836,16.225,0.073,14.9,9.496E-01,15.954,0.185,5.9,9.888E-01,12.575,null,0.8,9.843E-01,9.197,null,0.3,8.131E-01,11,16,1,16,0,16,0,16,null,null,null,null,null,null,null,297.651172,345.199835
J101139.38+463311.4,152.9141153,46.5531863,16.576,0.095,11.5,8.804E-01,16.887,0.418,2.6,8.510E-01,12.963,null,-0.1,8.901E-01,8.837,null,1.1,7.905E-01,8,16,0,16,0,16,0,16,null,null,null,null,null,null,null,298.292499,347.969208
J101201.59+463227.8,153.0066294,46.5410673,16.332,0.086,12.6,8.701E-01,16.216,0.261,4.2,1.030E+00,12.846,null,-1.3,1.039E+00,9.183,null,-0.1,1.166E+00,9,13,2,13,0,13,0,13,null,null,null,null,null,null,null,299.071956,33.920518
J101127.12+462427.3,152.8630166,46.4075928,16.961,0.137,7.9,8.342E-01,16.108,0.218,5.0,7.736E-01,12.902,null,-0.6,9.588E-01,9.059,null,0.3,1.080E+00,1,14,1,14,0,14,0,14,null,null,null,null,null,null,null,299.600444,219.157335
J101120.66+463058.4,152.8361037,46.5162396,15.643,0.054,20.3,8.816E-01,15.526,0.129,8.4,8.390E-01,12.931,null,-0.2,8.709E-01,9.334,null,-0.5,1.022E+00,14,15,3,15,0,15,0,15,549070007,17.132,0.210,16.453,0.206,15.777,0.241,300.857303,301.878651
J101214.60+462753.5,153.0608424,46.4648832,17.495,0.198,5.5,8.014E-01,16.674,null,1.3,9.236E-01,12.247,null,2.0,9.119E-01,9.190,null,0.2,1.004E+00,1,17,0,17,0,17,0,17,null,null,null,null,null,null,null,302.672051,94.914278
J101212.77+463008.4,153.0532130,46.5023435,16.426,0.084,13.0,8.745E-01,16.834,0.443,2.5,8.642E-01,12.521,null,0.9,9.454E-01,9.380,null,-0.2,9.981E-01,9,16,0,15,0,15,0,16,null,null,null,null,null,null,null,302.713118,68.915299
J101133.88+462341.1,152.8912025,46.3947575,14.998,0.040,27.2,1.286E+00,14.841,0.081,13.4,8.403E-01,12.494,null,0.7,1.046E+00,9.090,null,0.3,9.745E-01,13,13,11,13,0,13,0,13,null,null,null,null,null,null,null,303.025679,203.173559
J101214.27+462725.9,153.0594978,46.4572051,17.450,0.192,5.7,7.858E-01,16.795,null,0.7,7.144E-01,12.782,0.463,2.3,9.408E-01,9.290,null,-0.5,1.130E+00,0,16,0,16,1,16,0,16,null,null,null,null,null,null,null,303.040677,100.182872
J101118.65+463026.4,152.8277104,46.5073459,16.873,0.124,8.8,7.948E-01,16.824,0.393,2.8,8.709E-01,12.604,null,0.8,1.002E+00,8.738,null,1.6,1.009E+00,4,16,0,16,0,16,1,16,null,null,null,null,null,null,null,304.063528,294.667263
J101158.88+463250.5,152.9953554,46.5473708,16.626,0.105,10.4,8.635E-01,16.295,0.271,4.0,9.335E-01,12.853,null,-1.7,8.843E-01,9.297,null,0.1,1.101E+00,5,14,1,13,0,13,1,14,null,null,null,null,null,null,null,304.412748,27.160962
J101119.54+463048.0,152.8314426,46.5133366,16.070,0.066,16.4,8.543E-01,16.123,0.209,5.2,9.274E-01,12.652,0.411,2.6,9.407E-01,9.066,null,0.6,9.531E-01,14,16,1,16,0,16,1,16,null,null,null,null,null,null,null,305.530512,299.070744
J101204.05+463217.1,153.0169018,46.5381067,16.956,0.141,7.7,9.401E-01,16.414,0.301,3.6,9.292E-01,12.715,0.476,2.3,8.848E-01,8.701,null,1.3,1.041E+00,2,13,2,13,0,13,0,13,null,null,null,null,null,null,null,305.647000,38.998063
J101131.16+462350.8,152.8798566,46.3974449,17.036,0.167,6.5,1.130E+00,16.795,0.434,2.5,1.055E+00,12.700,null,0.3,8.557E-01,9.193,null,-0.2,1.089E+00,2,13,0,13,0,13,0,13,null,null,null,null,null,null,null,306.638968,208.732777
J101150.22+462316.9,152.9592502,46.3880288,17.003,0.132,8.2,9.357E-01,16.323,0.238,4.6,1.091E+00,12.438,null,1.3,1.017E+00,9.030,null,0.4,9.029E-01,3,16,2,16,0,16,0,16,null,null,null,null,null,null,null,306.883326,170.677271
J101117.20+462641.2,152.8216949,46.4447881,15.908,0.060,17.9,1.005E+00,15.378,0.112,9.7,9.283E-01,11.803,0.198,5.5,8.214E-01,8.735,0.323,3.4,1.012E+00,15,15,4,15,2,15,2,15,null,null,null,null,null,null,null,307.677293,251.370622
J101125.33+462430.7,152.8555640,46.4085510,16.734,0.114,9.6,8.734E-01,16.234,0.249,4.4,8.831E-01,12.383,null,1.2,1.012E+00,9.254,null,-0.7,9.696E-01,6,14,2,14,0,14,0,14,null,null,null,null,null,null,null,309.032870,222.223880
J101145.22+462310.5,152.9384506,46.3862661,16.508,0.094,11.6,7.819E-01,16.531,0.307,3.5,9.464E-01,12.666,null,0.6,1.074E+00,9.333,null,-1.0,9.837E-01,7,15,1,15,0,15,0,15,null,null,null,null,null,null,null,309.187940,180.358661
J101115.86+462722.6,152.8161083,46.4562859,17.349,0.178,6.1,9.511E-01,16.610,0.311,3.5,8.877E-01,12.620,null,0.8,8.788E-01,8.924,null,1.1,9.791E-01,1,16,0,16,1,16,0,16,null,null,null,null,null,null,null,310.601333,259.449283
J101212.30+462600.2,153.0512590,46.4333905,17.346,0.172,6.3,9.011E-01,17.077,0.509,2.1,8.773E-01,12.319,null,1.5,8.823E-01,9.298,null,-0.4,8.608E-01,0,16,0,16,0,16,0,16,null,null,null,null,null,null,null,310.925289,116.624236
J101157.76+462335.7,152.9906992,46.3932723,17.562,0.213,5.1,8.879E-01,17.230,null,-2.4,1.102E+00,12.988,null,-1.4,1.064E+00,9.351,null,-1.3,9.866E-01,1,17,0,17,0,17,0,17,null,null,null,null,null,null,null,311.353330,155.766947
J101115.43+462855.8,152.8143148,46.4821780,17.129,0.154,7.0,7.720E-01,16.110,0.209,5.2,9.421E-01,12.918,0.518,2.1,1.012E+00,8.622,null,1.9,9.826E-01,0,16,1,16,0,16,0,16,null,null,null,null,null,null,null,311.776516,276.694515
J101156.96+463309.1,152.9873549,46.5525404,16.487,0.096,11.3,9.669E-01,16.452,0.309,3.5,1.093E+00,12.397,null,1.0,9.627E-01,8.645,null,1.6,9.317E-01,7,13,2,13,0,13,0,13,null,null,null,null,null,null,null,313.003894,22.373370
J101118.73+462551.6,152.8280550,46.4310038,15.510,0.048,22.4,1.055E+00,15.484,0.116,9.4,1.042E+00,12.981,null,-2.2,9.687E-01,9.159,null,0.4,1.065E+00,15,16,6,16,0,16,0,16,549069861,15.898,0.069,15.593,0.097,15.356,0.161,313.012583,241.796269
J101154.81+462321.7,152.9784050,46.3893697,16.544,0.089,12.1,8.450E-01,15.845,0.160,6.8,9.709E-01,12.355,0.295,3.7,1.022E+00,9.352,null,0.1,1.106E+00,10,17,2,17,1,17,0,17,null,null,null,null,null,null,null,313.460628,161.920933
J101132.25+463302.3,152.8843916,46.5506558,16.952,0.130,8.4,7.742E-01,16.049,0.196,5.5,8.975E-01,12.961,null,-1.5,9.206E-01,9.308,null,-0.6,9.908E-01,5,16,1,16,0,16,0,16,null,null,null,null,null,null,null,313.582542,334.344750
J101116.82+462631.6,152.8201004,46.4421310,16.794,0.116,9.3,9.316E-01,16.056,0.199,5.5,1.035E+00,12.482,0.364,3.0,8.515E-01,8.654,null,1.8,9.139E-01,4,15,2,15,0,15,2,15,null,null,null,null,null,null,null,314.589268,249.951576
J101159.65+462340.6,152.9985672,46.3946161,17.083,0.133,8.2,8.901E-01,16.580,null,1.6,8.938E-01,12.992,null,-0.9,9.543E-01,9.271,null,-0.1,8.432E-01,2,18,1,18,0,18,0,18,null,null,null,null,null,null,null,315.568303,152.169213
J101215.95+462831.7,153.0664805,46.4754734,16.525,0.089,12.2,8.032E-01,16.211,0.217,5.0,9.835E-01,12.672,null,0.7,1.016E+00,9.092,null,0.4,9.315E-01,8,17,2,17,0,17,0,17,null,null,null,null,null,null,null,315.715165,87.782086
J101215.72+462735.6,153.0655301,46.4598890,16.770,0.107,10.1,8.683E-01,16.999,0.440,2.5,8.820E-01,12.956,null,-1.1,8.367E-01,9.364,null,-1.1,1.033E+00,8,17,1,17,0,17,0,17,null,null,null,null,null,null,null,316.272210,97.976723
J101144.73+462301.8,152.9363821,46.3838573,17.478,0.213,5.1,7.983E-01,16.513,null,1.6,9.251E-01,12.609,null,0.7,9.860E-01,9.272,null,0.2,1.047E+00,1,15,0,15,1,15,0,15,null,null,null,null,null,null,null,317.932117,181.274645
J101202.24+463246.1,153.0093410,46.5461436,15.862,0.065,16.8,9.018E-01,15.857,0.200,5.4,9.542E-01,12.741,null,0.1,9.642E-01,9.136,null,0.1,1.004E+00,11,12,2,12,0,12,0,12,null,null,null,null,null,null,null,318.013160,33.083966
J101205.84+462421.8,153.0243364,46.4060595,16.878,0.116,9.4,9.013E-01,16.295,0.246,4.4,9.712E-01,12.665,0.406,2.7,1.097E+00,9.394,null,-0.5,1.072E+00,3,17,1,17,0,17,0,17,null,null,null,null,null,null,null,318.099131,138.383187
J101216.10+462853.6,153.0671053,46.4815674,14.397,0.031,35.3,8.592E-01,14.148,0.047,22.9,8.608E-01,12.526,null,1.1,9.547E-01,9.010,null,0.7,1.053E+00,17,17,17,17,0,17,0,17,549074939,15.396,0.052,14.739,0.047,14.611,0.085,318.827317,83.849529
J101216.40+462821.0,153.0683352,46.4725108,16.031,0.063,17.1,8.120E-01,15.932,0.177,6.1,9.468E-01,12.999,null,-0.5,8.157E-01,9.039,null,0.8,1.067E+00,14,17,1,17,0,17,0,17,null,null,null,null,null,null,null,320.098041,89.720704
J101216.43+462806.3,153.0684716,46.4684367,16.064,0.065,16.8,1.007E+00,15.450,0.118,9.2,9.917E-01,11.915,0.205,5.3,1.006E+00,9.089,null,0.6,1.038E+00,16,17,5,17,0,17,0,17,null,null,null,null,null,null,null,320.724299,92.341945
J101209.24+462453.7,153.0385143,46.4149327,16.409,0.082,13.3,8.120E-01,15.731,0.148,7.3,8.530E-01,12.523,0.349,3.1,9.646E-01,9.054,null,0.7,1.064E+00,9,17,1,17,0,17,0,17,null,null,null,null,null,null,null,321.071703,129.871182
J101216.04+462917.0,153.0668542,46.4880685,16.008,0.063,17.1,9.324E-01,14.676,0.067,16.3,8.928E-01,12.131,0.255,4.3,9.259E-01,8.790,null,1.3,1.240E+00,14,16,14,16,0,16,0,16,null,null,null,null,null,null,null,321.526416,79.686880
J101115.39+462946.9,152.8141582,46.4963876,16.721,0.105,10.4,1.085E+00,16.231,0.234,4.6,8.261E-01,12.508,null,1.1,8.877E-01,9.312,null,-1.6,8.659E-01,7,16,2,16,0,16,0,16,null,null,null,null,null,null,null,322.071940,285.764296
J101215.44+462653.0,153.0643469,46.4480705,16.931,0.130,8.4,8.624E-01,16.548,null,1.3,9.798E-01,12.904,null,0.0,9.504E-01,8.805,null,1.4,9.809E-01,4,15,0,15,0,15,0,15,null,null,null,null,null,null,null,322.158607,105.564137
J101145.88+462257.6,152.9411823,46.3826675,17.508,0.214,5.1,9.277E-01,16.311,0.253,4.3,9.354E-01,12.682,null,0.5,1.081E+00,9.289,null,-2.3,1.060E+00,1,15,2,15,1,15,0,15,null,null,null,null,null,null,null,322.173274,179.137725
J101114.24+462841.8,152.8093689,46.4782949,17.148,0.161,6.8,8.187E-01,16.486,null,1.8,8.398E-01,12.979,null,-0.5,8.446E-01,9.306,null,-1.5,9.573E-01,1,16,0,16,0,16,0,16,null,null,null,null,null,null,null,322.711439,273.977745
J101118.42+463104.0,152.8267693,46.5177889,14.475,0.032,33.6,8.059E-01,14.254,0.050,21.7,8.428E-01,12.933,null,-0.4,8.811E-01,8.679,null,1.4,9.664E-01,15,15,15,15,0,15,0,15,549070010,16.122,0.087,15.429,0.089,14.864,0.111,323.535018,300.560021
J101209.70+463145.1,153.0404187,46.5292107,17.070,0.151,7.2,9.128E-01,16.794,null,0.7,9.665E-01,12.163,null,1.9,1.022E+00,8.907,null,0.8,9.470E-01,2,14,0,14,0,14,0,14,null,null,null,null,null,null,null,324.148920,50.638433
J101140.23+463340.0,152.9176510,46.5611276,16.778,0.109,9.9,8.463E-01,16.754,0.372,2.9,8.625E-01,12.679,null,0.6,1.027E+00,9.330,null,-1.6,9.661E-01,2,16,1,16,0,16,0,16,null,null,null,null,null,null,null,324.749681,350.533065
J101154.74+462309.0,152.9781121,46.3858368,16.673,0.101,10.7,9.687E-01,16.953,0.428,2.5,1.124E+00,13.009,null,-0.5,9.608E-01,9.325,null,-0.2,1.041E+00,6,17,1,17,0,17,1,17,null,null,null,null,null,null,null,325.360705,162.736734
J101216.82+462753.7,153.0700951,46.4649340,16.419,0.081,13.3,1.066E+00,15.878,0.168,6.5,9.485E-01,12.508,null,1.2,9.195E-01,9.138,null,0.3,8.917E-01,10,17,1,17,0,17,0,17,null,null,null,null,null,null,null,325.519597,94.529831
J101114.89+462656.3,152.8120778,46.4489760,16.853,0.123,8.9,1.008E+00,16.070,0.201,5.4,8.824E-01,12.292,0.304,3.6,1.024E+00,8.621,null,1.8,8.919E-01,4,15,2,15,0,15,0,15,null,null,null,null,null,null,null,326.170917,255.226577
J101149.69+463345.1,152.9570579,46.5625446,16.375,0.087,12.5,7.917E-01,16.400,0.293,3.7,8.629E-01,12.866,null,-0.1,8.477E-01,8.642,null,1.6,1.091E+00,10,13,1,13,0,13,1,13,null,null,null,null,null,null,null,328.403957,7.722271
J101159.11+463317.9,152.9963019,46.5549831,14.286,0.031,34.9,8.521E-01,14.427,0.059,18.4,1.038E+00,12.491,null,0.8,1.017E+00,9.006,null,0.5,9.517E-01,13,13,12,13,0,13,0,13,549074837,15.025,0.037,14.481,0.041,14.529,0.077,330.022578,25.347600
J101152.98+463343.9,152.9707500,46.5622050,17.132,0.161,6.8,8.846E-01,17.077,null,-0.7,8.778E-01,12.849,null,-1.4,1.050E+00,9.250,null,-1.4,1.088E+00,0,13,0,13,0,13,1,13,null,null,null,null,null,null,null,333.469063,13.530541
J101144.73+463353.2,152.9363785,46.5647822,17.108,0.149,7.3,8.511E-01,16.650,0.338,3.2,9.123E-01,12.978,null,-0.5,1.025E+00,9.339,null,-0.6,1.021E+00,0,16,2,16,1,16,0,16,null,null,null,null,null,null,null,333.550878,358.787551
J101121.95+462427.4,152.8414971,46.4076140,15.633,0.053,20.6,8.463E-01,15.801,0.165,6.6,9.096E-01,12.461,null,1.0,8.882E-01,9.119,null,0.3,8.810E-01,14,14,3,14,0,14,0,14,549069827,15.818,0.073,15.575,0.089,15.662,0.229,335.801235,226.257407
J101113.25+462916.9,152.8052481,46.4880482,17.478,0.203,5.3,8.820E-01,16.311,0.247,4.4,8.506E-01,12.208,null,2.0,7.421E-01,8.615,null,1.8,1.063E+00,2,16,1,16,0,16,2,16,null,null,null,null,null,null,null,337.033994,279.825652
J101212.36+462508.7,153.0515338,46.4190959,16.610,0.098,11.1,1.209E+00,15.958,0.184,5.9,9.237E-01,12.304,null,1.6,9.108E-01,9.282,null,-0.7,9.097E-01,4,15,2,15,0,15,0,15,null,null,null,null,null,null,null,337.762247,124.394297
J101119.15+462458.5,152.8298243,46.4162532,16.636,0.105,10.4,8.804E-01,15.594,0.136,8.0,9.946E-01,12.499,0.369,2.9,9.994E-01,8.870,null,1.0,8.508E-01,6,15,4,15,0,15,0,15,null,null,null,null,null,null,null,337.857076,233.484082
J101217.81+462726.0,153.0742367,46.4572416,17.084,0.144,7.5,8.778E-01,16.573,0.339,3.2,1.011E+00,12.478,null,1.0,1.120E+00,9.336,null,-1.0,8.919E-01,2,15,1,15,0,15,0,15,null,null,null,null,null,null,null,339.049041,99.059088
J101214.08+463108.1,153.0587003,46.5189205,16.757,0.115,9.4,1.055E+00,16.852,0.418,2.6,1.063E+00,12.758,null,0.3,9.740E-01,9.229,null,-0.1,1.056E+00,3,14,0,14,0,14,0,14,null,null,null,null,null,null,null,340.607640,60.330872
J101112.40+462810.5,152.8016866,46.4696018,17.348,0.181,6.0,9.187E-01,16.588,0.310,3.5,8.678E-01,12.890,null,0.1,9.678E-01,9.372,null,-0.7,1.045E+00,0,16,0,16,0,16,0,16,null,null,null,null,null,null,null,341.148907,268.508989
J101147.92+463400.5,152.9496974,46.5668106,16.155,0.073,14.9,8.875E-01,15.973,0.193,5.6,9.819E-01,12.574,null,0.6,1.126E+00,8.914,null,0.9,1.235E+00,12,14,2,14,0,13,0,14,null,null,null,null,null,null,null,341.763372,4.347440
J101218.56+462759.9,153.0773674,46.4666469,16.964,0.128,8.5,1.011E+00,16.894,0.424,2.6,8.782E-01,12.221,null,1.7,9.488E-01,8.758,null,1.4,1.037E+00,3,16,0,16,0,15,1,16,null,null,null,null,null,null,null,343.080201,93.260309
J101209.91+462427.0,153.0412921,46.4075168,16.927,0.125,8.7,9.050E-01,16.504,null,1.6,8.138E-01,12.673,null,0.7,9.401E-01,9.285,null,-0.7,1.031E+00,2,16,1,16,0,16,0,16,null,null,null,null,null,null,null,343.872829,132.544927
J101145.95+463403.9,152.9414624,46.5677662,16.440,0.091,11.9,9.236E-01,16.043,0.207,5.3,8.876E-01,12.185,0.277,3.9,1.008E+00,8.792,null,1.3,1.112E+00,8,15,1,15,0,15,0,15,null,null,null,null,null,null,null,344.262887,0.919594
J101127.92+463312.9,152.8663616,46.5536020,16.261,0.077,14.0,7.875E-01,16.107,0.219,5.0,9.889E-01,12.971,null,-0.4,9.514E-01,9.300,null,0.2,1.086E+00,10,16,1,16,0,16,0,16,null,null,null,null,null,null,null,344.345175,328.407137
J101126.31+463302.0,152.8596313,46.5505787,16.634,0.100,10.8,1.036E+00,16.177,0.226,4.8,8.219E-01,12.969,null,0.0,9.693E-01,9.242,null,0.3,9.628E-01,7,16,0,16,0,16,0,16,null,null,null,null,null,null,null,344.397696,325.095439
J101124.01+463243.9,152.8500424,46.5455529,16.784,0.117,9.3,8.643E-01,16.586,null,1.3,9.882E-01,12.035,0.234,4.6,9.195E-01,8.910,null,1.0,9.318E-01,5,16,1,16,1,16,0,16,null,null,null,null,null,null,null,344.469883,320.128510
J101151.50+463358.8,152.9646114,46.5663396,16.889,0.131,8.3,9.506E-01,17.087,null,-0.6,9.605E-01,12.554,null,0.6,1.001E+00,9.298,null,-0.2,9.240E-01,4,13,0,13,0,13,0,13,null,null,null,null,null,null,null,344.862783,10.495620
J101114.57+463032.8,152.8107114,46.5091124,16.864,0.131,8.3,9.082E-01,16.686,0.378,2.9,9.609E-01,12.872,null,-0.4,8.997E-01,9.251,null,-0.8,9.012E-01,2,14,1,14,0,14,0,14,null,null,null,null,null,null,null,345.210054,292.718892
J101124.80+463251.8,152.8533385,46.5477276,14.668,0.034,32.0,1.065E+00,14.767,0.070,15.5,9.594E-01,12.878,null,0.1,9.754E-01,8.917,null,1.1,1.070E+00,16,16,13,16,0,16,1,16,549070049,15.385,0.050,14.848,0.053,14.632,0.085,345.418545,322.000419
J101148.66+463404.5,152.9527784,46.5679443,17.166,0.158,6.9,8.239E-01,16.689,null,0.8,9.513E-01,12.524,null,0.7,1.063E+00,9.299,null,0.1,1.063E+00,2,14,0,14,0,13,0,14,null,null,null,null,null,null,null,346.488872,5.553584
J101113.34+462638.0,152.8055846,46.4439147,16.407,0.087,12.5,8.641E-01,16.446,0.278,3.9,9.169E-01,12.932,null,-0.2,9.525E-01,8.636,null,1.6,1.094E+00,10,15,2,15,0,15,0,15,549069888,17.340,0.245,16.018,0.140,15.747,null,346.675521,252.998503
J101156.88+462253.5,152.9870323,46.3815551,16.336,0.079,13.8,8.006E-01,15.761,0.147,7.4,1.011E+00,12.473,null,1.2,9.493E-01,9.064,null,0.8,1.095E+00,12,17,4,17,1,17,0,17,null,null,null,null,null,null,null,347.042121,159.996461
J101159.17+463337.3,152.9965432,46.5603837,16.072,0.071,15.4,9.645E-01,16.384,0.308,3.5,1.011E+00,12.855,null,-1.2,1.042E+00,9.039,null,0.5,9.163E-01,12,13,1,13,0,13,0,13,null,null,null,null,null,null,null,347.930426,24.063603
J101219.15+462830.2,153.0798319,46.4750698,11.379,0.025,44.2,1.044E+00,11.390,0.022,50.2,2.620E+00,11.184,0.111,9.8,1.105E+00,8.957,0.365,3.0,1.151E+00,16,16,17,17,5,16,1,17,549074950,11.892,0.023,11.536,0.024,11.441,0.019,348.749825,88.221879
J101154.90+463355.3,152.9787552,46.5653669,15.714,0.056,19.3,1.062E+00,15.772,0.173,6.3,9.895E-01,12.746,null,0.2,7.607E-01,9.262,null,-0.5,1.112E+00,13,13,2,13,0,13,0,13,null,null,null,null,null,null,null,349.573330,16.251363
J101219.11+462746.7,153.0796450,46.4629737,16.722,0.107,10.1,9.842E-01,15.860,0.169,6.4,9.550E-01,12.629,0.409,2.7,9.687E-01,8.540,null,1.9,1.084E+00,7,15,1,15,0,15,1,15,null,null,null,null,null,null,null,349.730402,95.369199
J101219.33+462803.0,153.0805762,46.4675126,16.706,0.109,10.0,1.036E+00,15.746,0.156,7.0,8.684E-01,12.322,null,1.6,1.102E+00,9.095,null,0.4,1.113E+00,5,15,3,15,0,15,0,15,null,null,null,null,null,null,null,350.858467,92.676053
J101115.81+462527.8,152.8158776,46.4244121,17.068,0.152,7.1,8.222E-01,16.198,0.232,4.7,9.934E-01,12.895,null,-0.2,1.093E+00,9.164,null,0.0,1.070E+00,1,14,0,14,0,14,0,14,null,null,null,null,null,null,null,350.928124,240.722557
J101126.49+462328.0,152.8604051,46.3911270,15.991,0.068,16.0,7.926E-01,16.343,0.287,3.8,8.593E-01,12.830,null,-0.3,9.169E-01,9.191,null,-0.8,9.590E-01,12,13,0,13,0,13,0,13,549069810,16.868,0.152,16.127,0.150,16.314,null,351.183890,213.871265
J101132.14+462255.9,152.8839529,46.3822110,17.340,0.209,5.2,6.805E-01,16.772,null,0.6,9.547E-01,12.531,null,0.7,8.878E-01,9.174,null,-1.2,8.550E-01,0,13,0,13,0,13,0,13,null,null,null,null,null,null,null,351.635708,202.979171
J101213.29+463141.8,153.0554052,46.5282974,17.412,0.203,5.3,8.473E-01,16.482,0.314,3.5,1.011E+00,12.163,null,1.7,1.004E+00,9.259,null,-0.7,9.214E-01,2,14,1,13,1,13,0,14,null,null,null,null,null,null,null,351.763125,54.884758
J101139.27+462232.0,152.9136300,46.3755704,15.788,0.058,18.8,8.451E-01,15.797,0.178,6.1,1.042E+00,12.575,null,0.7,1.081E+00,9.106,null,0.1,9.421E-01,13,14,2,14,0,14,0,14,null,null,null,null,null,null,null,353.442488,190.363851
